,co_fracc,latitud,longitud,barrio,comuna,fecha,n_personas
3191,5_22,-34.6348176242001,-58.420658767459095,Boedo,5,2020-03-25,1
3192,5_22,-34.6348176242001,-58.420658767459095,Boedo,5,2020-03-26,2
3193,5_22,-34.6348176242001,-58.420658767459095,Boedo,5,2020-04-02,4
3194,5_22,-34.6348176242001,-58.420658767459095,Boedo,5,2020-04-05,2
3195,5_22,-34.6348176242001,-58.420658767459095,Boedo,5,2020-04-15,1
3196,5_22,-34.6348176242001,-58.420658767459095,Boedo,5,2020-04-20,1
3197,5_22,-34.6348176242001,-58.420658767459095,Boedo,5,2020-04-22,1
3198,5_22,-34.6348176242001,-58.420658767459095,Boedo,5,2020-05-02,1
3199,5_22,-34.6348176242001,-58.420658767459095,Boedo,5,2020-05-07,1
3200,5_3,-34.6047828498058,-58.4150271733079,Almagro,5,2020-03-22,1
3201,5_3,-34.6047828498058,-58.4150271733079,Almagro,5,2020-03-23,1
3202,5_3,-34.6047828498058,-58.4150271733079,Almagro,5,2020-03-25,3
3203,5_3,-34.6047828498058,-58.4150271733079,Almagro,5,2020-03-27,1
3204,5_3,-34.6047828498058,-58.4150271733079,Almagro,5,2020-03-21,2
3205,5_3,-34.6047828498058,-58.4150271733079,Almagro,5,2020-03-28,1
3206,5_3,-34.6047828498058,-58.4150271733079,Almagro,5,2020-03-29,1
3207,5_3,-34.6047828498058,-58.4150271733079,Almagro,5,2020-04-04,1
3208,5_3,-34.6047828498058,-58.4150271733079,Almagro,5,2020-04-21,1
3209,5_3,-34.6047828498058,-58.4150271733079,Almagro,5,2020-05-01,1
3210,5_3,-34.6047828498058,-58.4150271733079,Almagro,5,2020-05-10,3
3211,5_3,-34.6047828498058,-58.4150271733079,Almagro,5,2020-05-18,1
3212,5_4,-34.601999142615696,-58.4202561895084,Almagro,5,2020-03-23,1
3213,5_4,-34.601999142615696,-58.4202561895084,Almagro,5,2020-03-26,1
3214,5_4,-34.601999142615696,-58.4202561895084,Almagro,5,2020-03-21,2
3215,5_4,-34.601999142615696,-58.4202561895084,Almagro,5,2020-04-04,1
3216,5_4,-34.601999142615696,-58.4202561895084,Almagro,5,2020-04-12,1
3217,5_4,-34.601999142615696,-58.4202561895084,Almagro,5,2020-04-15,2
3218,5_4,-34.601999142615696,-58.4202561895084,Almagro,5,2020-04-19,1
3219,5_4,-34.601999142615696,-58.4202561895084,Almagro,5,2020-04-28,1
3220,5_4,-34.601999142615696,-58.4202561895084,Almagro,5,2020-05-09,2
3221,5_4,-34.601999142615696,-58.4202561895084,Almagro,5,2020-05-08,4
3222,5_4,-34.601999142615696,-58.4202561895084,Almagro,5,2020-05-15,1
3223,5_4,-34.601999142615696,-58.4202561895084,Almagro,5,2020-05-16,1
3224,5_5,-34.6013144993964,-58.427568711680095,Almagro,5,2020-03-23,1
3225,5_5,-34.6013144993964,-58.427568711680095,Almagro,5,2020-03-22,1
3226,5_5,-34.6013144993964,-58.427568711680095,Almagro,5,2020-03-28,2
3227,5_5,-34.6013144993964,-58.427568711680095,Almagro,5,2020-03-29,4
3228,5_5,-34.6013144993964,-58.427568711680095,Almagro,5,2020-04-15,1
3229,5_5,-34.6013144993964,-58.427568711680095,Almagro,5,2020-04-19,1
3230,5_5,-34.6013144993964,-58.427568711680095,Almagro,5,2020-04-27,1
3231,5_5,-34.6013144993964,-58.427568711680095,Almagro,5,2020-05-08,4
3232,5_5,-34.6013144993964,-58.427568711680095,Almagro,5,2020-05-14,1
3233,5_5,-34.6013144993964,-58.427568711680095,Almagro,5,2020-05-16,1
3234,5_6,-34.6039206065516,-58.4298516524711,Almagro,5,2020-03-24,3
3235,5_6,-34.6039206065516,-58.4298516524711,Almagro,5,2020-03-25,3
3236,5_6,-34.6039206065516,-58.4298516524711,Almagro,5,2020-03-27,1
3237,5_6,-34.6039206065516,-58.4298516524711,Almagro,5,2020-03-22,1
3238,5_6,-34.6039206065516,-58.4298516524711,Almagro,5,2020-04-07,3
3239,5_6,-34.6039206065516,-58.4298516524711,Almagro,5,2020-04-08,1
3240,5_6,-34.6039206065516,-58.4298516524711,Almagro,5,2020-04-11,2
3241,5_6,-34.6039206065516,-58.4298516524711,Almagro,5,2020-04-19,1
3242,5_6,-34.6039206065516,-58.4298516524711,Almagro,5,2020-04-17,1
3243,5_6,-34.6039206065516,-58.4298516524711,Almagro,5,2020-05-03,1
3244,5_6,-34.6039206065516,-58.4298516524711,Almagro,5,2020-05-01,2
3245,5_6,-34.6039206065516,-58.4298516524711,Almagro,5,2020-05-06,1
3246,5_6,-34.6039206065516,-58.4298516524711,Almagro,5,2020-05-09,2
3247,5_6,-34.6039206065516,-58.4298516524711,Almagro,5,2020-05-08,2
3248,5_6,-34.6039206065516,-58.4298516524711,Almagro,5,2020-05-12,1
3249,5_7,-34.605941886082896,-58.4253751002508,Almagro,5,2020-03-22,3
3250,5_7,-34.605941886082896,-58.4253751002508,Almagro,5,2020-03-23,5
3251,5_7,-34.605941886082896,-58.4253751002508,Almagro,5,2020-03-24,1
3252,5_7,-34.605941886082896,-58.4253751002508,Almagro,5,2020-03-25,4
3253,5_7,-34.605941886082896,-58.4253751002508,Almagro,5,2020-03-26,5
3254,5_7,-34.605941886082896,-58.4253751002508,Almagro,5,2020-03-21,4
3255,5_7,-34.605941886082896,-58.4253751002508,Almagro,5,2020-03-19,2
3256,5_7,-34.605941886082896,-58.4253751002508,Almagro,5,2020-04-11,1
3257,5_7,-34.605941886082896,-58.4253751002508,Almagro,5,2020-04-15,1
3258,5_7,-34.605941886082896,-58.4253751002508,Almagro,5,2020-04-21,1
3259,5_7,-34.605941886082896,-58.4253751002508,Almagro,5,2020-05-03,1
3260,5_7,-34.605941886082896,-58.4253751002508,Almagro,5,2020-05-08,2
3261,5_8,-34.605554842458,-58.421623325799295,Almagro,5,2020-03-23,1
3262,5_8,-34.605554842458,-58.421623325799295,Almagro,5,2020-03-27,3
3263,5_8,-34.605554842458,-58.421623325799295,Almagro,5,2020-04-06,1
3264,5_8,-34.605554842458,-58.421623325799295,Almagro,5,2020-04-12,1
3265,5_8,-34.605554842458,-58.421623325799295,Almagro,5,2020-04-11,1
3266,5_8,-34.605554842458,-58.421623325799295,Almagro,5,2020-04-15,1
3267,5_8,-34.605554842458,-58.421623325799295,Almagro,5,2020-04-21,1
3268,5_8,-34.605554842458,-58.421623325799295,Almagro,5,2020-04-28,1
3269,5_8,-34.605554842458,-58.421623325799295,Almagro,5,2020-05-03,1
3270,5_8,-34.605554842458,-58.421623325799295,Almagro,5,2020-05-01,1
3271,5_8,-34.605554842458,-58.421623325799295,Almagro,5,2020-05-05,1
3272,5_8,-34.605554842458,-58.421623325799295,Almagro,5,2020-05-07,1
3273,5_9,-34.6061917325201,-58.4181424346913,Almagro,5,2020-03-24,3
3274,5_9,-34.6061917325201,-58.4181424346913,Almagro,5,2020-03-22,2
3275,5_9,-34.6061917325201,-58.4181424346913,Almagro,5,2020-03-29,1
3276,5_9,-34.6061917325201,-58.4181424346913,Almagro,5,2020-04-06,2
3277,5_9,-34.6061917325201,-58.4181424346913,Almagro,5,2020-04-13,1
3278,5_9,-34.6061917325201,-58.4181424346913,Almagro,5,2020-04-16,1
3279,5_9,-34.6061917325201,-58.4181424346913,Almagro,5,2020-04-17,1
3280,5_9,-34.6061917325201,-58.4181424346913,Almagro,5,2020-04-23,2
3281,5_9,-34.6061917325201,-58.4181424346913,Almagro,5,2020-05-02,2
3282,5_9,-34.6061917325201,-58.4181424346913,Almagro,5,2020-05-04,1
3283,6_1,-34.6087001574814,-58.4580739248349,Caballito,6,2020-03-22,3
3284,6_1,-34.6087001574814,-58.4580739248349,Caballito,6,2020-03-24,1
3285,6_1,-34.6087001574814,-58.4580739248349,Caballito,6,2020-03-21,2
3286,6_1,-34.6087001574814,-58.4580739248349,Caballito,6,2020-03-23,1
3287,6_1,-34.6087001574814,-58.4580739248349,Caballito,6,2020-04-19,5
3288,6_1,-34.6087001574814,-58.4580739248349,Caballito,6,2020-04-23,1
3289,6_1,-34.6087001574814,-58.4580739248349,Caballito,6,2020-04-25,1
3290,6_1,-34.6087001574814,-58.4580739248349,Caballito,6,2020-05-03,1
3291,6_10,-34.618841397158,-58.44132227351071,Caballito,6,2020-03-22,1
3292,6_10,-34.618841397158,-58.44132227351071,Caballito,6,2020-03-25,1
3293,6_10,-34.618841397158,-58.44132227351071,Caballito,6,2020-03-27,1
3294,6_10,-34.618841397158,-58.44132227351071,Caballito,6,2020-04-03,1
3295,6_10,-34.618841397158,-58.44132227351071,Caballito,6,2020-04-14,1
3296,6_10,-34.618841397158,-58.44132227351071,Caballito,6,2020-04-19,1
3297,6_10,-34.618841397158,-58.44132227351071,Caballito,6,2020-04-27,1
3298,6_10,-34.618841397158,-58.44132227351071,Caballito,6,2020-05-03,1
3299,6_10,-34.618841397158,-58.44132227351071,Caballito,6,2020-05-08,1
3300,6_10,-34.618841397158,-58.44132227351071,Caballito,6,2020-05-09,1
3301,6_10,-34.618841397158,-58.44132227351071,Caballito,6,2020-05-12,2
